fid,OBJECTID,MPDMR_NO,ARA_XCRD,ARA_YCRD,PRRCK_LARG,PRRCK_MDDL,LOCTN_ALTT,LOCTN_GRDN,EIGHT_ORBR,CLZN_CD,TPGRP_TPCD,PRDN_FOM_C,SLANT_TYP_,SLDPT_TPCD,SCSTX_CD,SLTP_CD,LDMARK_STN,MAP_LABEL_,Shape_Leng,Shape_Area
1083723,1083723,"37608074","185737.11","452677.53","3","31",28.500000000000000,16.699999999999999,267.399999999999980,"2","07","05","2","20","01","02","L102","B©ü",1280.540649280975000,26648.858467744547000
1083725,1083725,"37608074","185957.11","452692.53","3","31",45.000000000000000,14.600000000000000,195.099999999999990,"2","07","01","1","10","01","24","L624","Er©û",2239.672815221818400,46195.592290214459000
1083724,1083724,"37608074","185897.11","452702.53","3","31",35.799999999999997,13.699999999999999,216.699999999999990,"2","07","05","2","20","02","02","L102","B©ü",733.031363348211130,13419.182443849179000
1083395,1083395,"37608064","185911.8","452921.35","3","31",19.699999999999999,39.500000000000000,44.200000000000003,"2","","","","","","82","L983","R",204.017541021747460,1617.806545871119200
1083419,1083419,"37608066","189785.62","453121.2","3","31",38.500000000000000,26.699999999999999,264.800000000000010,"2","07","05","2","20","01","26","L626","Er-c",1578.338606968460000,39764.102572576237000
1083421,1083421,"37608066","189855.62","453081.2","3","31",64.700000000000003,12.900000000000000,267.399999999999980,"2","07","01","1","10","01","24","L624","Er©û",1735.705921792409800,46309.382492276418000
1083423,1083423,"37608066","190150.62","454466.2","3","31",58.700000000000003,24.899999999999999,259.500000000000000,"2","12","05","2","20","02","06","L106","rB©ü",1380.249724946971800,33332.838115925340000
1083425,1083425,"37608066","190470.62","454246.2","3","31",70.299999999999997,23.800000000000001,158.699999999999990,"2","12","05","2","20","02","06","L106","rB©ü",2544.961002624862000,50682.030214752413000
1083726,1083726,"37608074","185981.33","452752.11","3","31",60.399999999999999,11.400000000000000,172.900000000000010,"2","","","","","","91","L991","S",160.253990910629110,1334.639971104932300
1083727,1083727,"37608074","186052.11","452757.53","3","31",17.600000000000001,14.699999999999999,72.400000000000006,"2","07","05","2","20","01","02","L102","B©ü",1053.840249895833900,24645.773233130360000
1086647,1086647,"37608066","189971","453110","3","31",41.600000000000001,11.199999999999999,322.199999999999990,"2","07","05","2","20","01","26","L626","Er-c",2068.655233904401000,35763.257511281190000
1086648,1086648,"37608066","190332","454453","3","31",72.700000000000003,15.699999999999999,68.000000000000000,"2","12","05","2","20","02","06","L106","rB©ü",1792.113781587925800,48326.358365478751000
1087944,1087944,"37608064","185880.81","452853.22","3","31",73.700000000000003,2.900000000000000,270.000000000000000,"2","","","","","","99","L999","E",244.042872972766330,3567.391896922796600
1071148,1071148,"37612013","184271","441193","3","31",49.299999999999997,16.100000000000001,215.400000000000010,"2","07","01","1","20","01","05","L105","rB©û",3021.311442472177100,85222.258588394077000
1059457,1059457,"37612013","183674.42","441730.73","3","31",43.799999999999997,17.800000000000001,77.700000000000003,"2","07","05","2","20","01","06","L106","rB©ü",1352.596370652881400,31518.549876972276000
1059197,1059197,"37612004","185468.14","442307.16","3","31",50.700000000000003,21.500000000000000,84.900000000000006,"2","07","05","2","20","01","02","L102","B©ü",5159.826331224241600,233538.858820513360000
1072653,1072653,"37612004","184545.23","441934.32","3","31",38.299999999999997,20.000000000000000,337.800000000000010,"2","07","05","2","20","01","02","L102","B©ü",734.469588565065350,7337.138889047870200
1072662,1072662,"37612004","184556.85","441852.22","3","31",50.299999999999997,1.400000000000000,180.000000000000000,"2","07","01","1","10","01","01","L101","B©û",518.549416903532800,11661.016078672421000
1059193,1059193,"37612004","185218.14","441922.16","3","31",72.500000000000000,14.600000000000000,172.800000000000010,"2","07","01","1","10","01","28","L828","Li",665.939548368059830,15649.077764124930000
1059185,1059185,"37612004","184668.14","441937.16","2","21",45.000000000000000,18.300000000000001,274.899999999999980,"2","07","05","2","20","02","02","L102","B©ü",499.757434926907310,6976.249311612516100
1071136,1071136,"37612004","184973","442066","3","31",76.599999999999994,26.199999999999999,355.500000000000000,"2","07","05","2","20","02","02","L102","B©ü",1689.303170143703000,38190.065444767977000
1059196,1059196,"37612004","185366.95","442090.45","3","31",39.200000000000003,6.500000000000000,83.700000000000003,"2","","","","","","93","L993","C",570.424339493610090,12757.768445072519000
